Node,Centrality
431093,0.1861357762858853
742011,0.210932031609816
1143118,0.12291497935367907
787760,0.19347840689130086
309232,0.2134069530836748
885689,0.1269143008720033
323426,0.20380471479634057
1048835,0.18203201927578816
544699,0.1947863885405657
1087344,0.22704959308133232
95527,0.26708216321469413
164633,0.2200613594955972
532839,0.1731156388286781
115983,0.2077111379748654
90066,0.21700042429166333
221731,0.22261905252303058
837549,0.1840147083478857
845262,0.157241833189585
206741,0.18816516050731635
297781,0.210932031609816
135230,0.2548647434136846
283813,0.1940829521553267
689129,0.19682250579382465
215713,0.19861519294071817
1157563,0.08571410229298208
1104887,0.18382305778018507
853041,0.17508944705972923
427393,0.1804747315434214
93579,0.25581800566866997
361585,0.21181980527843125
204214,0.22703596661464667
631832,0.17114422233733487
405802,0.21051509828399503
758967,0.20556138690527404
51879,0.213923825867447
104321,0.26189669599427323
705540,0.2231215457013347
543466,0.1823251639922224
349813,0.2055377093542931
1102505,0.16998119988808602
309328,0.2304945943223324
434952,0.18754007305358983
1096764,0.21409336175865754
807711,0.1742663972311198
289849,0.18644928223148555
809842,0.20098081145040345
832588,0.2048056619235533
805284,0.17704805351336694
709671,0.19405776339462966
986827,0.14870286968266455
689158,0.2170039097030121
205400,0.21961018572324514
167574,0.22258975461345223
24291,0.25134282239752237
567163,0.16967938075770225
284244,0.18834993962254631
29608,0.20256108661895159
720068,0.2121843099128744
690899,0.20255732665286882
36836,0.20660821357987472
541111,0.17281596360490073
740460,0.210932031609816
1116679,0.19589278800652948
269109,0.21420933828887945
927263,0.17636732624137832
12747,0.2345694526804403
1109623,0.17415552397090106
880574,0.18411208737013557
285024,0.1981829646915177
805892,0.182160344067934
308509,0.21224720708657074
34249,0.22255775840649533
882965,0.1581879836182064
928698,0.15991715058665742
249376,0.19448982984331326
843589,0.17389488948779958
323326,0.2111125248662792
908745,0.18953127254557212
692819,0.20721848167945553
526853,0.18127297380485102
925246,0.2025527714963421
104590,0.22939966401284925
559407,0.1585128614691152
154676,0.2107546254951129
110680,0.22272298910532748
693976,0.20525886669384427
759125,0.18691601560827267
761899,0.1800114171710255
1025475,0.18839752811547855
1061996,0.19714581375072807
826004,0.20641183315636563
724136,0.20160292667259752
499417,0.1931177338727092
914296,0.18377150255912678
57948,0.2579578694278208
810660,0.18392297621991754
193828,0.21454407005520654
679976,0.22501936644607323
889365,0.15305697486140582
215012,0.2534515210365238
277383,0.20409382112511115
1041018,0.19289449933457636
